
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-04-01 11:58:21 /login ....................................... ~ 0.17ms
  2026-04-01 11:58:22 /build/assets/app-DQccH1Rc.css ............... ~ 0.06ms
  2026-04-01 11:58:22 /build/assets/login-BOjVmOz1.js .............. ~ 0.26ms
  2026-04-01 11:58:22 /build/assets/input-error-BHB8g57A.js ........ ~ 0.78ms
  2026-04-01 11:58:22 /build/assets/text-link-kGnVlIL6.js .......... ~ 1.05ms
  2026-04-01 11:58:22 /build/assets/button-C5QfT_pJ.js ............. ~ 1.34ms
  2026-04-01 11:58:22 /build/assets/checkbox-tUv0n1KH.js ........... ~ 1.77ms
  2026-04-01 11:58:22 /build/assets/app-DW2kvQsR.js ................ ~ 2.14ms
  2026-04-01 11:58:22 /build/assets/input-CcIgzt2r.js .............. ~ 0.10ms
  2026-04-01 11:58:22 /build/assets/label-BuBAxCHX.js .............. ~ 0.50ms
  2026-04-01 11:58:22 /build/assets/spinner-BDXBk-Vx.js ............ ~ 0.95ms
  2026-04-01 11:58:22 /build/assets/auth-layout-BROYif2Q.js ........ ~ 1.30ms
  2026-04-01 11:58:22 /build/assets/index-CSy1w5yN.js .............. ~ 1.65ms
  2026-04-01 11:58:22 /build/assets/leaf-qoza47qI.js ............... ~ 0.58ms
  2026-04-01 11:58:22 /build/assets/index-DK4bxJCT.js .............. ~ 0.53ms
  2026-04-01 11:58:22 /build/assets/loader-circle-DMb4gCpU.js ...... ~ 1.14ms
  2026-04-01 11:58:22 /build/assets/auth-simple-layout-Cl_KT1oJ.js . ~ 1.36ms
  2026-04-01 11:58:22 /build/assets/app-logo-icon-VOG7HTq4.js ...... ~ 1.46ms
  2026-04-01 11:58:22 /build/assets/index-D6qVB1g5.js .............. ~ 1.71ms
  2026-04-01 11:58:22 /build/assets/app-DQccH1Rc.css ............... ~ 0.05ms
  2026-04-01 11:58:23 /login ..................................... ~ 500.63ms
  2026-04-01 11:58:23 /dashboard ................................... ~ 0.05ms
  2026-04-01 11:58:23 /admin/dashboard ............................. ~ 0.05ms
  2026-04-01 11:58:23 /build/assets/AdminDashboard-vs_zZAPS.js ..... ~ 0.10ms
  2026-04-01 11:58:23 /build/assets/message-square-DUc5Lqak.js ..... ~ 0.36ms
  2026-04-01 11:58:23 /build/assets/card-7rfuh-5a.js ............... ~ 0.60ms
  2026-04-01 11:58:23 /build/assets/app-layout-BScs_rCj.js ......... ~ 1.07ms
  2026-04-01 11:58:23 /build/assets/table-BVw0JTj3.js .............. ~ 1.32ms
  2026-04-01 11:58:23 /build/assets/badge-Du8LVp7P.js .............. ~ 1.77ms
  2026-04-01 11:58:23 /build/assets/circle-check-big-EO3OeM9p.js ... ~ 0.06ms
  2026-04-01 11:58:23 /build/assets/users-9QVmECej.js .............. ~ 0.21ms
  2026-04-01 11:58:23 /build/assets/credit-card-CIfZ2rB9.js ........ ~ 0.66ms
  2026-04-01 11:58:23 /admin/users ................................. ~ 0.14ms
  2026-04-01 11:58:23 /build/assets/app-DQccH1Rc.css ............... ~ 0.06ms
  2026-04-01 11:58:23 /build/assets/Index-BAvPjSx0.js .............. ~ 0.11ms
  2026-04-01 11:58:23 /build/assets/app-layout-BScs_rCj.js ......... ~ 0.92ms
  2026-04-01 11:58:23 /build/assets/card-7rfuh-5a.js ............... ~ 1.73ms
  2026-04-01 11:58:23 /build/assets/square-pen-DTU25J0N.js ......... ~ 2.60ms
  2026-04-01 11:58:23 /build/assets/app-DW2kvQsR.js ................ ~ 3.35ms
  2026-04-01 11:58:23 /build/assets/table-BVw0JTj3.js .............. ~ 4.34ms
  2026-04-01 11:58:23 /build/assets/badge-Du8LVp7P.js .............. ~ 1.96ms
  2026-04-01 11:58:23 /build/assets/button-C5QfT_pJ.js ............. ~ 0.86ms
  2026-04-01 11:58:23 /build/assets/index-CSy1w5yN.js .............. ~ 1.24ms
  2026-04-01 11:58:23 /build/assets/leaf-qoza47qI.js ............... ~ 2.29ms
  2026-04-01 11:58:23 /build/assets/app-logo-icon-VOG7HTq4.js ...... ~ 1.07ms
  2026-04-01 11:58:23 /build/assets/message-square-DUc5Lqak.js ..... ~ 1.27ms
  2026-04-01 11:58:23 /build/assets/index-DK4bxJCT.js .............. ~ 3.75ms
  2026-04-01 11:58:24 /build/assets/app-DQccH1Rc.css ............... ~ 0.04ms
  2026-04-01 11:58:24 /admin/farmers ............................... ~ 0.29ms
  2026-04-01 11:58:24 /build/assets/app-DQccH1Rc.css ............. ~ 500.57ms
  2026-04-01 11:58:24 /build/assets/Index-B-h6gknP.js .............. ~ 0.10ms
  2026-04-01 11:58:24 /build/assets/card-7rfuh-5a.js ............... ~ 0.58ms
  2026-04-01 11:58:24 /build/assets/app-layout-BScs_rCj.js ......... ~ 1.07ms
  2026-04-01 11:58:24 /build/assets/table-BVw0JTj3.js .............. ~ 1.38ms
  2026-04-01 11:58:24 /build/assets/badge-Du8LVp7P.js .............. ~ 1.80ms
  2026-04-01 11:58:24 /build/assets/app-DW2kvQsR.js ................ ~ 2.37ms
  2026-04-01 11:58:24 /build/assets/button-C5QfT_pJ.js ............. ~ 0.09ms
  2026-04-01 11:58:24 /build/assets/circle-check-big-EO3OeM9p.js ... ~ 0.46ms
  2026-04-01 11:58:24 /build/assets/index-CSy1w5yN.js .............. ~ 0.65ms
  2026-04-01 11:58:24 /build/assets/leaf-qoza47qI.js ............... ~ 1.07ms
  2026-04-01 11:58:24 /build/assets/index-DK4bxJCT.js .............. ~ 1.58ms
  2026-04-01 11:58:24 /build/assets/app-logo-icon-VOG7HTq4.js ...... ~ 0.49ms
  2026-04-01 11:58:24 /build/assets/message-square-DUc5Lqak.js ..... ~ 0.69ms
  2026-04-01 11:58:24 /build/assets/app-DQccH1Rc.css ............... ~ 0.04ms
  2026-04-01 11:58:24 /admin/reports ............................... ~ 0.04ms
  2026-04-01 11:58:24 /build/assets/app-DQccH1Rc.css ............... ~ 0.05ms
  2026-04-01 11:58:24 /build/assets/Index-D_FgthHO.js .............. ~ 0.10ms
  2026-04-01 11:58:24 /build/assets/trending-up-bEVUIB29.js ........ ~ 0.51ms
  2026-04-01 11:58:24 /build/assets/app-layout-BScs_rCj.js ......... ~ 0.76ms
  2026-04-01 11:58:24 /build/assets/card-7rfuh-5a.js ............... ~ 1.10ms
  2026-04-01 11:58:24 /build/assets/app-DW2kvQsR.js ................ ~ 1.56ms
  2026-04-01 11:58:24 /build/assets/table-BVw0JTj3.js .............. ~ 2.05ms
  2026-04-01 11:58:24 /build/assets/users-9QVmECej.js .............. ~ 0.08ms
  2026-04-01 11:58:24 /build/assets/leaf-qoza47qI.js ............... ~ 0.74ms
  2026-04-01 11:58:24 /build/assets/button-C5QfT_pJ.js ............. ~ 1.17ms
  2026-04-01 11:58:24 /build/assets/index-CSy1w5yN.js .............. ~ 1.60ms
  2026-04-01 11:58:24 /build/assets/index-DK4bxJCT.js .............. ~ 0.07ms
  2026-04-01 11:58:24 /build/assets/app-logo-icon-VOG7HTq4.js ...... ~ 0.52ms
  2026-04-01 11:58:24 /build/assets/message-square-DUc5Lqak.js ..... ~ 0.74ms
  2026-04-01 11:58:24 /build/assets/app-DQccH1Rc.css ............... ~ 0.05ms
